Not connected,45,19,42.2%,,4,8.89%,,,,,,,
,,,,,,,,,,,,,
05 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,79,46,58.2%,,4,5.06%,,,,,,,
Signup bot,39,22,56.4%,-6.9%,4,10.26%,+100.0%,,,,,,
Day-of bot,23,14,60.9%,+0.4%,3,13.04%,+100.0%,,,,,,
Both bots,16,10,62.5%,+3.1%,3,18.75%,+100.0%,,,,,,
Not connected,33,20,60.6%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
06 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,90,56,62.2%,,8,8.89%,,,,,,,
Signup bot,46,31,67.4%,+20.1%,6,13.04%,+434.8%,,,,,,
Day-of bot,22,17,77.3%,+37.7%,5,22.73%,+831.8%,,,,,,
Both bots,19,15,78.9%,+40.7%,4,21.05%,+763.2%,,,,,,
Not connected,41,23,56.1%,,1,2.44%,,,,,,,
,,,,,,,,,,,,,
07 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,97,53,54.6%,,6,6.19%,,,,,,,
Signup bot,48,30,62.5%,+27.8%,5,10.42%,+368.8%,,,,,,
Day-of bot,26,13,50.0%,+2.3%,2,7.69%,+246.2%,,,,,,
Both bots,22,12,54.5%,+11.6%,2,9.09%,+309.1%,,,,,,
Not connected,45,22,48.9%,,1,2.22%,,,,,,,
,,,,,,,,,,,,,
08 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,91,41,45.1%,,4,4.40%,,,,,,,
Signup bot,47,25,53.2%,+29.7%,3,6.38%,+148.9%,,,,,,
Day-of bot,22,11,50.0%,+21.9%,2,9.09%,+254.5%,,,,,,
Both bots,17,11,64.7%,+57.7%,2,11.76%,+358.8%,,,,,,
Not connected,39,16,41.0%,,1,2.56%,,,,,,,
,,,,,,,,,,,,,
09 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,101,36,35.6%,,2,1.98%,,,,,,,
Signup bot,44,21,47.7%,+81.4%,2,4.55%,+100.0%,,,,,,
Day-of bot,1,0,0.0%,—,0,0.00%,—,,,,,,
Both bots,1,0,0.0%,—,0,0.00%,—,,,,,,
Not connected,57,15,26.3%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
10 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,83,44,53.0%,,1,1.20%,,,,,,,
Signup bot,29,17,58.6%,+17.2%,1,3.45%,+100.0%,,,,,,
Day-of bot,11,7,63.6%,+27.3%,0,0.00%,—,,,,,,
Both bots,9,6,66.7%,+33.3%,0,0.00%,—,,,,,,
Not connected,52,26,50.0%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
11 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,89,48,53.9%,,5,5.62%,,,,,,,
Signup bot,25,17,68.0%,+40.4%,3,12.00%,+284.0%,,,,,,
Day-of bot,9,6,66.7%,+37.6%,1,11.11%,+255.6%,,,,,,
Both bots,9,6,66.7%,+37.6%,1,11.11%,+255.6%,,,,,,
Not connected,64,31,48.4%,,2,3.13%,,,,,,,
,,,,,,,,,,,,,
12 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,82,33,40.2%,,0,0.00%,,,,,,,
Signup bot,25,14,56.0%,+82.0%,0,0.00%,—,,,,,,
Day-of bot,18,13,72.2%,+134.7%,0,0.00%,—,,,,,,
Both bots,13,10,76.9%,+150.0%,0,0.00%,—,,,,,,
Not connected,52,16,30.8%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
13 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,82,35,42.7%,,2,2.44%,,,,,,,
Signup bot,26,11,42.3%,+1.9%,2,7.69%,+100.0%,,,,,,
Day-of bot,9,5,55.6%,+33.8%,1,11.11%,+100.0%,,,,,,
Both bots,6,3,50.0%,+20.5%,1,16.67%,+100.0%,,,,,,
Not connected,53,22,41.5%,,0,0.00%,,,,,,,
,,,,,,,,,,,,,
14 Aug 2026,,,,,,,,,,,,,
Group,Registrants,Showed,Show-up %,Show-up Δ,Buyers,Buyer %,Buyer Δ,,,,,,
Total,77,16,20.8%,,2,2.60%,,,,,,,
Signup bot,26,5,19.2%,-10.8%,1,3.85%,+96.2%,,,,,,
Not connected,51,11,21.6%,,1,1.96%,,,,,,,
,,,,,,,,,,,,,
"METHOD, SOURCES & DATA AUDIT",,,,,,,,,,,,,
Window,17 July – 14 August 2026 (29 days) by REGISTRATION date. The call log (call-logs-2026-08-14.csv) covers the same span; sales rows taken from the same range. Days with no registrations: none.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sources,"Registrants 'L0 English Leads data' · sales 'L1 English - Full and lock' + 'L1 English - Balance' · attendance 'English Number Fetch' · platform daily 'English Webinar data', all in Purushottam Hambarde (PH) __ Scalex (3).xlsx. Attendee's Report Masterdata was checked and rejected — see below.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Registrants,"2,780 rows in the window → 12 team/test rows and 144 repeat registrations removed → 2,624 unique people. People are matched across files by phone OR email OR name, and a person who registered twice under two different numbers is counted ONCE. Platform's own count for these days is 2,769 leads (95% reconciliation; the rest are repeats and unusable numbers).",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Connected,"Duration MORE THAN 15 seconds. Of 7,268 calls the two bots placed in the window, 1,888 connected, reaching 1,248 distinct registrants. 4,720 calls never connected at all. 6,488 of 7,268 call rows (89%) matched a window registrant; most of the rest belong to people who registered earlier.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Buyers,"EVERY sale on 'L1 English - Full and lock' and 'L1 English - Balance' is counted as one FULL sale of ₹6,999 — no EMI/part-payment split. The product is priced at ₹6,999: it is paid either in one ₹6,999 payment or as a ₹999 booking lock plus a ₹6,000 balance. Amount mix of the 142 sale rows used: {'999': 28, '6000': 9, '6999': 105}. A person who locked and then paid the balance is counted ONCE. 4 rows with a zero amount (no payment taken) were left out. 1 rows dated before the person registered were dropped. 22 in-window purchase rows belong to people outside this cohort (12 registered before 17 Jul; 10 could not be traced to any English L0 registration).",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Show-up,"Per-person match against 'English Number Fetch' (3,983 attendance rows) by phone/email/name. Cross-check: it independently finds 104 of the 111 known buyers (94%), which is what you would expect since almost nobody buys without attending.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Why the Attendee Masterdata file is NOT used,"It holds only 423 attendance rows for these 29 days against 3,983 in the full list and 1,642 show-ups on the platform's own dashboard. It matches just 7.0% of registrants and finds only 32 of the 111 known buyers, versus 104 for the full list. Using it would report a ~7% show-up rate instead of the real ~49%. It does not affect any buyer, revenue or ROI figure.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Bot coverage,"The signup bot placed no calls on: none. The day-of bot placed no calls on: 17 Jul, 10 Aug. Registrants of the final day get their day-of call the next morning, outside this window. On days a bot did not run, its rows are omitted below rather than shown as zero.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Team / test numbers,"18 internal and test lines (the coach's own number, the team's phones, 'Test User'-style entries) plus @freedomwithai.com and @scalex.club emails are deleted from every dataset before counting — 80 call rows and 12 registration rows.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Baseline (what 'not connected' means),"ONE comparison group of 1,376 people: everyone the bots never held a conversation with — 648 who were dialled but did not pick up or hung up inside 15 seconds, plus 728 who were never dialled at all. They are merged everywhere in this report, including the per-day tables. They behave similarly: 2.01% of the dialled-no-answer group buys against 2.61% of the never-dialled group. Note the direction this merge pushes: the dialled-but-no-answer group is the lowest-buying group in the whole dataset, so folding it into the baseline widens the measured gap and RAISES the ROI (it would be 13.0× against never-dialled leads alone). It also roughly doubles the size of the comparison group, which is why the result is now statistically solid (p = 0.0000) where the narrower comparison was not.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Extra sales — the weighted calculation,"Registrants are split into 5 bands by how many days they had before the data was pulled (0-2 days, 3-6 days, 7-9 days, 10-13 days, 14+ days). Inside each band, connected leads are compared only with not-connected leads of the SAME age, and the band's gap is multiplied by that band's connected count (2.5 + 6.8 + 13.5 + 7.8 + 18.0 = 48.6 sales). That is a weighted average — every band counts in proportion to its size — so the two sides are normalised onto the same mix of lead ages instead of one mix being compared against another. Weighted gap 3.90 points vs 4.00 points unweighted, i.e. the correction is small here: the AI's advantage appears in EVERY band (2.7 to 9.2 points), so it is not an artefact of when people registered. Full table on the Overview tab. 48.6 × ₹6,999 = ₹340,260 ÷ ₹23,230 = 14.6×.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cost — the ₹5.10 per minute check,"Only the Signup and Day-of English bots, only calls dated inside the window, team lines removed. 7,268 calls were placed; 2,548 had someone actually on the line and the other 4,720 connected to nothing and cost nothing. Those 2,548 calls hold 181,479 seconds = 3,024.7 minutes of real talk time. Billing is PER MINUTE, so each call is rounded UP to the next whole minute before charging — with an average call of only 71 seconds that turns 3,025 real minutes into 4,555 billed minutes. 4,555 × ₹5.10 = ₹23,230 (signup ₹15,830 + day-of ₹7,400). To the exact second it would be ₹15,426; the per-minute rounding adds ₹7,805 and that dearer figure is the one used, which lowers the ROI rather than flattering it.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
THE BIG CAVEAT,"This is an OBSERVATIONAL comparison, not an experiment. Nobody was randomly left uncalled, so 'connected' people are self-selected — they answered their phone, which already marks them as more engaged. Part of their higher show-up and buy rate would have happened anyway, and no amount of arithmetic on this data can strip that out — so 14.6× is a well-founded estimate, not a proven fact, and it is more likely to be a little high than a little low. Normalising for how long each lead had to buy removes the one bias that IS measurable; this one cannot be removed without an experiment. The gaps themselves are solid (p = 0.0000 on show-up and 0.0000 on buying). What is not in doubt is the direction and that it pays: break-even is 3.3 sales and the AI is credited with 49. A hold-out test (randomly leave ~15% of registrants uncalled for one month) would settle it, and it costs nothing to run — it saves calling spend.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
